Record Date,Debt Category,Debt Category Description,Closing Balance Today,Opening Balance Today,Opening Balance This Month,Opening Balance This Fiscal Year,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-06-08,Debt Held by the Public,null,25067557,25047345,24630686,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,3,2023,2,06,08
2023-06-08,Intragovernmental Holdings,null,6853701,6809660,6833771,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,06,08
2023-06-08,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,06,08
2023-06-08,Debt Not Subject to Limit,Unamortized Discount (-),79446,77490,75820,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,06,08
2023-06-08,Debt Not Subject to Limit,Federal Financing Bank (-),6722,6722,6722,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,3,2023,2,06,08
2023-06-08,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,3,2023,2,06,08
2023-06-08,Statutory Debt Limit,null,0,0,31381463,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,3,2023,2,06,08
2023-06-07,Debt Held by the Public,null,25047345,25047398,24630686,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,3,2023,2,06,07
2023-06-07,Intragovernmental Holdings,null,6809660,6808582,6833771,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,06,07
2023-06-07,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,06,07
2023-06-07,Debt Not Subject to Limit,Unamortized Discount (-),77490,78054,75820,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,06,07
2023-06-07,Debt Not Subject to Limit,Federal Financing Bank (-),6722,6722,6722,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,3,2023,2,06,07
2023-06-07,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,3,2023,2,06,07
2023-06-07,Statutory Debt Limit,null,0,0,31381463,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,3,2023,2,06,07
2023-06-06,Debt Held by the Public,null,25047398,25032143,24630686,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,3,2023,2,06,06
2023-06-06,Intragovernmental Holdings,null,6808582,6793536,6833771,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,06,06
2023-06-06,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,06,06
2023-06-06,Debt Not Subject to Limit,Unamortized Discount (-),78054,77074,75820,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,06,06
2023-06-06,Debt Not Subject to Limit,Federal Financing Bank (-),6722,6722,6722,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,3,2023,2,06,06
2023-06-06,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,3,2023,2,06,06
2023-06-06,Statutory Debt Limit,null,0,0,31381463,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,3,2023,2,06,06
2023-06-05,Debt Held by the Public,null,25032143,24702383,24630686,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,3,2023,2,06,05
2023-06-05,Intragovernmental Holdings,null,6793536,6764717,6833771,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,06,05
2023-06-05,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,06,05
2023-06-05,Debt Not Subject to Limit,Unamortized Discount (-),77074,78463,75820,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,06,05
2023-06-05,Debt Not Subject to Limit,Federal Financing Bank (-),6722,6722,6722,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,3,2023,2,06,05
2023-06-05,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,3,2023,2,06,05
2023-06-05,Statutory Debt Limit,null,0,0,31381463,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,3,2023,2,06,05
2023-06-02,Debt Held by the Public,null,24702383,24690310,24630686,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,3,2023,2,06,02
2023-06-02,Intragovernmental Holdings,null,6764717,6777330,6833771,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,06,02
2023-06-02,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,06,02
2023-06-02,Debt Not Subject to Limit,Unamortized Discount (-),78463,79002,75820,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,06,02
